time, Quad.GPS.X
0.105000,-0.372308
0.205000,0.640076
0.305000,-0.736629
0.404998,0.869235
0.504997,0.180033
0.604996,-0.945388
0.704994,0.887913
0.804993,-0.259587
0.904992,-0.450360
1.004991,-1.571667
1.104996,-0.470616
1.205000,-0.521729
1.305005,0.253510
1.405010,0.472054
1.505014,-0.728393
1.605019,-0.304221
1.705024,0.691406
1.805028,0.977273
1.905033,-0.719837
2.005037,0.026205
2.105030,-0.246088
2.205023,0.658061
2.305015,0.154281
0.005000,0.000003,0.000004,0.000002,0.000000,0.000003,0.000006,0.000014,0.000007,0.000004,-0.000008,0.100077,-0.100077
0.010000,0.000013,0.000009,0.000006,0.000002,0.000004,0.000010,0.000030,0.000011,0.000005,-0.000017,0.100130,-0.100130
0.015000,0.000028,0.000026,0.000014,-0.000003,0.000003,0.000017,0.000046,0.000020,0.000020,-0.000024,0.100213,-0.100213
0.020000,0.000043,0.000037,0.000025,-0.000008,0.000004,0.000019,0.000052,0.000028,0.000023,-0.000034,0.100270,-0.100270
0.025000,0.000061,0.000048,0.000037,-0.000010,0.000006,0.000017,0.000048,0.000036,0.000013,-0.000062,0.100358,-0.100358
0.030000,0.000076,0.000060,0.000042,-0.000015,0.000015,0.000013,0.000039,0.000035,0.000007,-0.000081,0.100419,-0.100419
0.035000,0.000106,0.000081,0.000058,-0.000013,0.000025,0.000017,0.000018,0.000037,-0.000005,-0.000113,0.100514,-0.100514
0.040000,0.000129,0.000088,0.000070,-0.000013,0.000034,0.000016,-0.000009,0.000045,-0.000021,-0.000144,0.100579,-0.100579
0.045000,0.000166,0.000098,0.000091,-0.000032,0.000050,0.000017,-0.000064,0.000052,-0.000062,-0.000212,0.100679,-0.100679
0.050000,0.000189,0.000101,0.000110,-0.000045,0.000061,0.000019,-0.000105,0.000057,-0.000093,-0.000267,0.100748,-0.100748
0.055000,0.000230,0.000101,0.000122,-0.000054,0.000089,0.000014,-0.000174,0.000077,-0.000149,-0.000347,0.100854,-0.100854
0.060000,0.000256,0.000109,0.000127,-0.000051,0.000108,0.000006,-0.000218,0.000092,-0.000191,-0.000405,0.100927,-0.100927
0.065000,0.000296,0.000123,0.000143,-0.000043,0.000127,-0.000002,-0.000283,0.000130,-0.000243,-0.000495,0.101039,-0.101039
0.070000,0.000319,0.000134,0.000161,-0.000030,0.000141,-0.000002,-0.000322,0.000161,-0.000275,-0.000556,0.101115,-0.101115
0.075000,0.000337,0.000157,0.000176,-0.000027,0.000181,-0.000010,-0.000382,0.000220,-0.000320,-0.000644,0.101233,-0.101233
0.080000,0.000346,0.000170,0.000179,-0.000018,0.000213,-0.000017,-0.000427,0.000260,-0.000358,-0.000700,0.101313,-0.101313
